filename,type,asm_d0,asm_d1,asm_d2,asm_d3,gar_d0,gar_d1,gar_d2,gar_d3
minepump_test_fix_2.spectra,normal,0.9441687945268172,0.9441687945268172,1,0.2314139712102058,0.861654166907052,0.861654166907052,1,0
minepump_test_fix_12.spectra,normal,0.9441687945268172,0.9441687945268172,1,0.2314139712102058,0.861654166907052,0.861654166907052,1,0
minepump_test_fix_13.spectra,normal,0.8982686721878196,0.8982686721878196,1,0,0.7571844343878706,0.7571844343878706,1,0
minepump_test_fix_3.spectra,normal,0.9441687945268175,0.9441687945268175,1,0,0.7739760316291209,0.7739760316291209,1,0
minepump_test_fix_8.spectra,normal,0.8982686721878196,0.8982686721878196,1,0,0.7739760316291208,0.7739760316291208,1,0
minepump_test_fix_11.spectra,normal,0.8982686721878196,0.8982686721878196,1,0,0.861654166907052,0.861654166907052,1,0
minepump_test_fix_1.spectra,normal,0.8982686721878196,0.8982686721878196,1,0,0.861654166907052,0.861654166907052,1,0
minepump_test_fix_0.spectra,normal,0.9441687945268175,0.9441687945268175,1,0,0.861654166907052,0.861654166907052,1,0
minepump_test_fix_9.spectra,normal,0.9441687945268172,0.9441687945268172,1,0.2314139712102058,0.7739760316291208,0.7739760316291208,1,0
minepump_test_fix_10.spectra,normal,0.9441687945268175,0.9441687945268175,1,0,0.861654166907052,0.861654166907052,1,0
minepump_test_fix_15.spectra,normal,0.8982686721878196,0.8982686721878196,1,0,0.8616541669070522,0.8616541669070522,1,0.6666666666666666
minepump_test_fix_5.spectra,normal,0.9441687945268172,0.9441687945268172,1,0.2314139712102058,0.7739760316291209,0.7739760316291209,1,0
minepump_test_fix_4.spectra,normal,0.8982686721878196,0.8982686721878196,1,0,0.7739760316291209,0.7739760316291209,1,0
minepump_test_fix_14.spectra,normal,0.9441687945268175,0.9441687945268175,1,0,0.8616541669070522,0.8616541669070522,1,0.6666666666666666
minepump_test_fix_6.spectra,normal,0.8982686721878196,0.8982686721878196,1,0,0.7961612757537453,0.7961612757537453,1,0
minepump_test_fix_16.spectra,normal,0.9441687945268172,0.9441687945268172,1,0.2314139712102058,0.8616541669070522,0.8616541669070522,1,0.6666666666666666
minepump_test_fix_17.spectra,normal,0.8982686721878196,0.8982686721878196,1,0,0.861654166907052,0.861654166907052,1,0.6666666666666666
minepump_test_fix_7.spectra,normal,0.9441687945268175,0.9441687945268175,1,0,0.7739760316291208,0.7739760316291208,1,0
ideal.spectra,ideal,0.9441687945268175,0.9441687945268175,1,0,0.7739760316291209,0.7739760316291209,1,0
strong.spectra,original,0.823415210864095,0.823415210864095,1,0,0.6666666666666665,0.6666666666666665,1,0
minepump_0.spectra,trivial,0.9441687945268175,0.9441687945268175,1,0,0.861654166907052,0.861654166907052,1,0
arbiter_0.spectra,trivial,1.0,1.0,1,0,0.9169925001442312,0.9169925001442312,1,0.8
