filename,type,asm_d0,asm_d1,asm_d2,asm_d3,gar_d0,gar_d1,gar_d2,gar_d3
minepump_fix_0.spectra,normal,0.8982686721878191,0.8982686721878191,1,0,0.7961612757537452,0.7961612757537452,1,0
minepump_fix_11479.spectra,normal,0.9441687945268179,0.9441687945268179,1,0.2314139712102058,0.7739760316291208,0.7739760316291208,1,0
minepump_fix_1151.spectra,normal,0.9441687945268179,0.9441687945268179,1,0.2314139712102058,0.7739760316291204,0.7739760316291204,1,0
minepump_fix_10335.spectra,normal,0.8982686721878191,0.8982686721878191,1,0,0.7739760316291204,0.7739760316291204,1,0
minepump_fix_10149.spectra,normal,0.8982686721878191,0.8982686721878191,1,0,0.757184434387871,0.757184434387871,1,0
minepump_fix_15486.spectra,normal,0.9441687945268179,0.9441687945268179,1,0.2314139712102058,0.7961612757537452,0.7961612757537452,1,0
minepump_fix_1002.spectra,normal,0.8982686721878191,0.8982686721878191,1,0,0.7739760316291208,0.7739760316291208,1,0
ideal.spectra,ideal,0.9441687945268171,0.9441687945268171,1,0,0.7739760316291208,0.7739760316291208,1,0
strong.spectra,original,0.8234152108640953,0.8234152108640953,1,0,0.6666666666666664,0.6666666666666664,1,0
minepump_0.spectra,trivial,0.9441687945268176,0.9441687945268176,1,0.0,0.861654166907052,0.861654166907052,1,0.0
minepump_1.spectra,trivial,0.9441687945268176,0.9441687945268176,1,0.0,0.861654166907052,0.861654166907052,1,0.0
